scanning 355 symbols on M15 (NR7, fresh OOS, cost 3idx-pts)...

symbol          n     expR      t    WR%    netR     ddR  verdict
------------------------------------------------------------------------
USTEC_x100m   204    0.399   2.97   36.8    81.4   -12.3  • +ev
USTECm        205    0.334   2.52   35.1    68.4   -12.3  • +ev
BTCKRWm       163    0.257   1.77   31.3    41.9   -12.0  ✗
XAGJPYm       203    0.224   1.71   32.0    45.5   -17.6  ✗
XNIUSDm       248    0.174   1.48   31.0    43.1   -16.5  ✗
USDVNDm       152    0.227   1.43   36.2    34.5   -40.8  ✗
BTCJPYm       250    0.159   1.39   29.2    39.8   -20.0  ✗
BTCTHBm       249    0.160   1.39   29.3    39.9   -20.0  ✗
BTCAUDm       254    0.098   0.87   28.0    24.8   -17.5  ✗
BTCUSDTm      212    0.102   0.83   27.8    21.6   -17.3  ✗
BTCCNHm       248    0.082   0.73   27.0    20.4   -25.4  ✗
USDIDRm       217    0.073   0.57   33.6    15.8   -25.9  ✗
JP225m        228    0.061   0.52   27.2    14.0   -22.2  ✗
HK50m         210    0.057   0.46   28.1    11.9   -20.4  ✗
BTCZARm       232    0.023   0.20   25.9     5.4   -29.1  ✗
XCUUSDm       261    0.023   0.20   28.7     5.9   -36.6  ✗
STOXX50m      227    0.024   0.19   33.5     5.5   -25.2  ✗
FR40m         232    0.002   0.02   31.5     0.5   -35.2  ✗
AUS200m       212   -0.039  -0.31   30.2    -8.3   -42.1  ✗
XAUAUDm       230   -0.048  -0.39   30.0   -10.9   -44.2  ✗
XZNUSDm       247   -0.057  -0.48   33.6   -14.2   -39.1  ✗
UK100m        248   -0.059  -0.51   29.0   -14.5   -41.1  ✗
DE30m         229   -0.061  -0.53   25.3   -13.9   -34.6  ✗
BTCUSDm       260   -0.059  -0.55   23.8   -15.2   -21.3  ✗
XALUSDm       230   -0.076  -0.61   33.0   -17.5   -36.1  ✗
USDGHSm       280-15665.689  -1.04    0.0-4386392.8-4386392.8  ✗
USDEGPm       182-2505.326  -1.09    0.0-455969.3-455969.3  ✗
ETHUSDm       228   -0.144  -1.17   32.0   -32.9   -42.1  ✗
XPTUSDm       212   -0.176  -1.39   31.1   -37.4   -54.4  ✗
US30_x10m     193   -0.179  -1.50   22.3   -34.5   -37.9  ✗
US30m         193   -0.179  -1.50   22.3   -34.5   -37.9  ✗
XAUUSDm       224   -0.228  -1.91   26.8   -51.1   -52.7  ✗
XAUEURm       225   -0.261  -2.16   28.0   -58.7   -71.0  ✗
US500_x100m   213   -0.268  -2.19   27.7   -57.0   -60.1  ✗
US500m        213   -0.268  -2.19   27.7   -57.0   -60.1  ✗
USDUZSm       480   -0.268  -2.73   34.8  -128.8  -230.5  ✗
USDCOPm       299   -0.306  -2.87   30.1   -91.4  -101.7  ✗
LLYm          246   -0.385  -3.21   32.1   -94.7  -106.9  ✗
USDAZNm        20-11412.412  -3.61    0.0-228248.2-228248.2  ✗
XPDUSDm       224   -0.452  -3.81   26.3  -101.1  -108.6  ✗
XAUGBPm       221   -0.466  -3.96   24.9  -102.9  -103.7  ✗
